지역,상호,종류,주소,연락처,메뉴,가격,비고
안산시,뉴타지마할,인도식,경기도 안산시 단원구 다문화1길 55,031-492-7861,"커리, 탄두리치킨 등",9000~13000,할랄 육류 사용
안산시,뉴히말라야 레스토랑,네팔인도식,경기도 안산시 단원구 다문화2길 25,031-495-7149,"커리, 탄두리치킨 등",9000~13000,할랄 육류 사용
안산시,니아지 레스토랑,파키스탄식,경기도 안산시 단원구 다문화2길 22,031-494-7447,"커리, 마살라, 브라아니 등",7000~12000,할랄 육류 사용 및 현지 요리사
안산시,린두알람,인도네시아식,경기도 안산시 단원구 다문화길 18 2층,031-894-7778,"른당, 나시고랭 등",8000~15000,할랄 육류 사용 및 현지 요리사
안산시,레아 인도네시아,인도네시아식,경기도 안산시 단원구 중앙대로 453 2층,031-508-6685,"미고랭, 나시고랭 등",7000~12000,할랄 육류 사용 및 현지 요리사
안산시,러빙헛,한식,경기도 안산시 단원구 다리간3길 17-5,031-475-5025,"청국장, 칼국수, 콩까스 등",6000~15000,비건 메뉴 제공 및 포크 프리
안산시,로얄 레스토랑,인도네시아식,경기도 안산시 단원구 원곡로23 2층,031-5127-3674,"사떼, 미고랭 등",6000~15000,할랄 육류 사용 및 현지 요리사
안산시,바타비아,인도네시아식,경기도 안산시 단원구 다문화길 4,031-493-6626,"나시고랭, 박소, 템빼 등",6000~15000,할랄 육류 사용
안산시,폰독 발리,인도네시아식,경기도 안산시 단원구 중앙대로 451 2층,,"나시고랭, 미고랭 등",7000~12000,할랄 육류 사용
안산시,사마리칸트,우즈베키스탄식,경기도 안산시 단원구 다문화2길 3,031-492-6984,"꼬치, 볶음밥, 찜 등",7000~12000,할랄 육류 사용 및 현지 요리사
안산시,사하밧,인도네시아식,경기도 안산시 단원구 다문화2길 12,031-494-5734,"나시고랭, 미고랭 등",7000~12000,할랄 육류 사용
안산시,시스마할,네팔인도식,경기도 안산시 단원구 부부로 34 2층,031-508-1104,"커리, 탄두리치킨 등",7000~12000,할랄 육류 사용 및 현지 요리사
안산시,솔티 인도네팔 레스토랑,네팔인도식,경기도 안산시 단원구 중앙대로 453,031-492-7723,"커리, 탄두리치킨 등",8000~16000,할랄 육류 사용 및 현지 요리사
안산시,세더하나,인도네시아식,경기도 안산시 단원구 다문화길 30 2층,031-494-6469,"미고랭, 나시고랭 등",8000~16000,할랄 육류 사용 및 현지 요리사
안산시,아시아나 레스토랑,인도식,경기도 안산시 단원구 다문화2길 51,031-494-6167,"커리, 탄두리치킨 등",6000~20000,할랄 육류 사용
안산시,알라바카,방글라데시식,경기도 안산시 단원구 부부로 28-1 2층,031-507-2207,"푸치카, 비리야니 등",6000~20000,할랄 육류 사용
안산시,오양순 추어탕,한식,경기도 안산시 상록구 안산천둥로 256,031-401-1778,"추어탕, 매운탕 등",8000~30000,포크 프리
안산시,어울림 돌솥밥,한식,경기도 안산시 상록구 구룡로 6,031-407-5880,"돌솥밥, 간장게장정식 등",8000~24000,포크 프리
안산시,O'ZBEK 우즈베키스탄 레스토랑,우즈베키스탄식,경기도 안산시 상록구 학사1길 2,031-406-1914,"샤실릭, 솜사 등",5000~7000,할랄 육류 사용 및 현지 요리사
안산시,와룽키타,인도네시아식,경기도 안산시 원곡본동 원본로 3,031-508-1103,"나시고랭, 미고랭, 사테 등",7000~12000,할랄 육류 사용
안산시,킨티푸트 레스토랑,네팔인도식,경기도 안산시 단원구 다문화2길 28,031-493-9563,"커리, 탄두리치킨 등",8000~18000,할랄 육류 사용 및 현지 요리사
안산시,카르타니,인도네시아식,경기도 안산시 단원구 다문화1길 1 2층,031-493-4471,"나시고랭, 사떼 등",8000~18000,할랄 육류 사용 및 현지 요리사
안양시,긴자인도레스토랑(안양점),인도식,경기도 안양시 동안구 평촌대로217번길 19,031-383-2223,"커리, 마카니, 치킨티카 등",14000~30000,할랄 육류 사용
안양시,백합 칼국수,한식,경기도 안양시 만안구 오리로34번길 7-17,031-465-5600,"바지락칼국수, 백합탕",9000~25000,포크 프리
오산시,닐라 인디안 키친,인도식,경기도 오산시 역광장로 56,031-377-5688,"커리, 탄두리치킨 등",10000~13000,할랄 육류 사용 및 현지 요리사
오산시,장가네 칼국수,한식,경기도 오산시 성호새싹길 17,031-372-7879,"바지락칼국수, 얼큰칼국수 등",3500~4500,포크 프리
오산시,이타지마할 인디안레스토랑,인도식,경기도 오산시 대원로 8-8,031-374-0195,"커리, 탄두리치킨 등",10000~20000,할랄 육류 사용 및 현지 요리사
오산시,어부나라 생선구이,한식,경기도 오산시 지곶길 49,031-212-2188,"고등어구이, 꽁치구이 등",8000~55000,생선 메뉴 및 포크 프리
용인시,갠지스(보정점),인도식,경기도 용인시 기흥구 죽전로15번길 7-15,031-889-3434,"커리, 탄두리치킨 등",8000~30000,할랄 육류 사용 및 현지 요리사
용인시,뜰안채(용인점),한식,경기도 용인시 기흥구 용구대로2335번길 25,031-281-5879,채식 뷔페,10000~12000,채식 메뉴 제공 및 포크 프리
의왕시,굼터,한식,경기도 의왕시 원터윗길 16,031-424-3392,"생선구이, 생선탕 등",12000~15000,생선 메뉴 제공 및 포크 프리
의왕시,칠갑정,한식,경기도 의왕시 왕송못서길 8-1,031-393-9977,"쭈꾸미구이, 코다리구이 등",9900~12900,포크 프리
의정부시,두르가(의정부점),네팔인도식,경기도 의정부시 태평로73번길 50,031-848-4785,"커리, 탄두리치킨 등",12000~15000,할랄 육류 사용 및 포크 프리
파주시,인도레스토랑 그레이,인도식,경기도 파주시 경의로 1114 10층,031-949-9135,"커리, 탄두리치킨 등",10000~16000,할랄 육류 사용
파주시,더 히말라얀,네팔인도식,경기도 파주시 새꽃로 194,031-943-2256,"커리, 탄두리치킨 등",10000~15000,할랄 육류 사용
파주시,민바리고추장매운탕,한식,경기도 파주시 쌀뚜기길 44-42,031-949-8266,"메기매운탕, 토종백숙 등",10000~35000,포크 프리
파주시,명태명가,한식,경기도 파주시 금릉역로 190 1층,031-948-8184,"생선조림, 생선탕 등",10000~25000,생선 메뉴 제공 및 포크 프리
파주시,춘하추동 추어탕,한식,경기도 파주시 지목로 47,031-945-4131,"추어탕, 메기탕",9000~25000,포크 프리
포천시,대복복집,한식,경기도 포천시 호국로964번길 12,031-535-0303,"복국, 복튀김, 복샤브샤브 등",17000~35000,포크 프리
평택시,니자르케밥,터키식,경기도 평택시 팽성읍 안정쇼핑로2 2층,031-651-9951,케밥 등,5500~12000,할랄 육류 사용 및 현지 요리사
평택시,모티마할,인도식,경기도 평택시 평택1로9번길 8,031-616-3358,"커리, 탄두리치킨 등",14000~25000,할랄 양고기 사용
평택시,스파이스 빌리지 레스토랑,인도식,경기도 평택시 쇼핑로 17-1,031-668-4444,"커리, 탄두리치킨 등",8000~22000,할랄 육류 사용 및 현지 요리사
평택시,이스탄불 케밥,터키식,경기도 평택시 팽성읍 안정순환로164번길 56,031-691-3302,케밥 등,6500~12000,할랄 육류 사용
하남시,그린 플레이트(하남점),한식,경기도 하남시 덕풍동로 111-33,031-793-6602,채식 뷔페,15900~17900,채식 메뉴 제공 및 포크 프리
하남시,에베레스트(스타필드 하남점),인도식,경기도 하남시 미사대로 750,031-8072-8289,"커리, 탄두리치킨 등",9000~20000,할랄 육류 사용
화성시,갠지스(화성점),인도식,경기도 화성시 동탄공원로2길 33-11,031-613-9575,"커리, 탄두리치킨 등",10000~30000,할랄 양고기 및 닭고기 사용
화성시,골든 타지마할,인도식,경기도 화성시 향남읍 3.1만세로 1130,070-4255-1786,"커리, 탄두리치킨 등",8000~12000,할랄 육류 사용
화성시,블루사파이어,호텔식,경기도 화성시 남양읍 시청로 290,031-369-7800,할랄 양고기 등,15000~30000,할랄 메뉴 제공 및 전용도구 사용
화성시,발안 인도네시아,인도네시아식,경기도 화성시 향남읍 3.1만세로 1133,070-8844-0340,"나시고랭, 박소 등",7000~10000,할랄 육류 사용 및 현지 요리사
화성시,수엠부(동탄점),네팔인도식,경기도 화성시 노작로4길 18-15,031-8015-2494,"커리, 탄두리치킨 등",10000~24000,할랄 양고기 사용
화성시,카리,인도식,경기도 화성시 동탄중앙로 220,031-613-3382,"커리, 탄두리치킨 등",6000~15000,할랄 육류 사용 및 현지 요리사
화성시,해조식당,한식,경기도 화성시 서신면 제부로 377,031-356-3639,"영양굴밥, 간장게장 등",12000~25000,포크 프리
화성시,파르투내(남양점),우즈베키스탄식,경기도 화성시 남양읍 남양시장로 88,031-356-9777,"샤실릭, 솜사 등",7000~64000,할랄 육류 사용 및 현지 요리사
